,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,IDList,6_Month,12_Month,24_Month,Lifetime
148,5008955,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2.0,"[5008955, 5008956, 5008957, 5008958, 5008959, 5008960, 5008962, 5008963]",0.0,0.0,0.0,0.0
156,5008966,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,Null,2.0,"[5008966, 5008967, 5008971, 5008973]",1.0,1.0,1.0,1.0
160,5008974,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,Null,2.0,"[5008974, 5008975, 5008976, 5008977, 5008978, 5008979, 5008980]",1.0,1.0,1.0,1.0
167,5008981,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2.0,"[5008981, 5008983, 5008984, 5008986, 5008987, 5008988]",0.0,1.0,1.0,0.0
174,5008991,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1.0,"[5008991, 5008992, 5008993, 5008994, 5008995, 5112861]",0.0,0.0,1.0,0.0
181,5008998,F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,Managers,2.0,"[5008998, 5008999]",1.0,1.0,1.0,0.0
183,5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,Drivers,2.0,[5009000],0.0,0.0,0.0,0.0
185,5009001,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2.0,"[5009001, 5009002, 5009005, 5009006, 5009007, 5009008, 5009009, 5009010, 5009012, 5009014]",0.0,1.0,1.0,0.0
199,5009016,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,Null,4.0,"[5009016, 5009018, 5009019, 5009020, 5009022, 5009023, 5009024, 5009025]",0.0,0.0,1.0,0.0
209,5009027,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,1,0,0,1,Laborers,2.0,"[5009027, 5112862]",0.0,0.0,0.0,0.0
211,5009028,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,1,0,0,0,Laborers,2.0,"[5009028, 5009029]",1.0,1.0,1.0,1.0
213,5009031,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,1,0,0,0,Accountants,1.0,"[5009031, 5009032]",0.0,0.0,0.0,0.0
216,5009033,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,Null,2.0,"[5009033, 5009034, 5009035, 5009036, 5009037, 5009038]",0.0,0.0,1.0,0.0
222,5009039,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,1,0,0,0,Core staff,3.0,"[5009039, 5009040]",0.0,0.0,0.0,0.0
224,5009042,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,-17641,-889,1,0,0,0,Core staff,2.0,"[5009042, 5009043, 5009044, 5009045, 5009046, 5009047]",0.0,0.0,1.0,1.0
231,5009050,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-10997,-2289,1,0,0,1,Core staff,4.0,"[5009050, 5009051, 5009052, 5009053, 5009055]",1.0,1.0,1.0,1.0
236,5009056,M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8861,-889,1,1,0,0,Drivers,1.0,"[5009056, 5009057]",0.0,1.0,1.0,0.0
238,5009058,F,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7489,-797,1,0,1,1,Private service staff,1.0,[5009058],0.0,0.0,0.0,0.0
239,5009060,F,N,Y,0,94500.0,Pensioner,Higher education,Married,House / apartment,-22331,365243,1,0,1,0,Null,2.0,[5009060],0.0,0.0,0.0,0.0
240,5009062,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,1,0,0,0,Sales staff,2.0,"[5009062, 5009063, 5009064, 5009065, 5009066, 5009067, 5009068, 5009069, 5009070]",1.0,1.0,1.0,0.0
249,5009071,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,1,0,1,1,High skill tech staff,2.0,"[5009071, 5009072]",0.0,0.0,1.0,0.0
252,5009074,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,-17726,-708,1,0,1,1,Core staff,3.0,"[5009074, 5009075]",0.0,0.0,1.0,0.0
254,5009078,M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,-14122,-1286,1,0,0,0,Drivers,3.0,[5009078],0.0,0.0,0.0,0.0
255,5009079,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,1,0,0,1,Laborers,2.0,"[5009079, 5009080, 5009081]",1.0,1.0,1.0,1.0
258,5009083,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20531,-5730,1,0,0,0,Drivers,2.0,"[5009083, 5009084]",0.0,0.0,0.0,0.0
262,5009088,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,-14730,-2989,1,0,0,0,Laborers,4.0,"[5009088, 5009089]",0.0,0.0,0.0,0.0
266,5009090,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-12628,-4025,1,0,0,0,Drivers,2.0,[5009090],0.0,0.0,0.0,0.0
267,5009092,M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,-12197,-1194,1,1,0,0,Managers,3.0,"[5009092, 5009094, 5009095]",1.0,1.0,1.0,1.0
271,5009096,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679,-4391,1,0,0,1,Accountants,3.0,"[5009096, 5009097, 5009098]",0.0,0.0,1.0,0.0
274,5009099,F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,-13271,-555,1,0,0,0,Managers,1.0,"[5009099, 5009100]",0.0,0.0,0.0,0.0
276,5009103,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,Drivers,4.0,"[5009103, 5009104, 5009105, 5009106, 5112876]",0.0,0.0,0.0,0.0
281,5009108,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15321,-2747,1,0,0,0,Security staff,2.0,"[5009108, 5009109]",0.0,0.0,0.0,0.0
283,5009110,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-8842,-312,1,0,0,1,High skill tech staff,2.0,[5009110],1.0,1.0,1.0,1.0
284,5009116,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,Null,1.0,"[5009116, 5009117, 5009118, 5009120, 5009122, 5009123, 5009124, 5009125, 5009126, 5009127, 5009128, 5009129, 5009130, 5009131]",0.0,0.0,1.0,0.0
299,5009133,M,N,Y,0,382500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673,365243,1,0,0,0,Null,1.0,"[5009133, 5009134, 5009135, 5009136, 5009137, 5009138, 5009139, 5009140]",0.0,1.0,1.0,1.0
307,5009141,F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,1,1,1,0,Managers,2.0,"[5009141, 5009142]",0.0,0.0,0.0,0.0
309,5009143,M,Y,N,0,225000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18289,365243,1,0,0,0,Null,2.0,"[5009143, 5009144]",0.0,1.0,1.0,1.0
311,5009145,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,1,0,Managers,2.0,"[5009145, 5009146, 5009147, 5009149, 5009150]",1.0,1.0,1.0,1.0
318,5009151,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,"[5009151, 5009152, 5009153, 5009154, 5009155, 5009156, 5009157, 5009158, 5009159, 5009160, 5009161, 5009162]",1.0,1.0,1.0,1.0
330,5009163,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12915,-3174,1,0,1,0,Sales staff,2.0,"[5009163, 5009164, 5009165, 5009166, 5009168]",0.0,0.0,1.0,0.0
336,5009170,F,Y,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22877,365243,1,0,1,1,Null,2.0,[5009170],0.0,0.0,1.0,0.0
337,5009177,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,1,0,0,0,Laborers,2.0,"[5009177, 5009178, 5009179, 5009180, 5009181, 5009182, 5009183]",1.0,1.0,1.0,1.0
345,5009186,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,1,1,1,0,Managers,2.0,"[5009186, 5009187, 5009188, 5009189, 5009190, 5009191, 5009192, 5009193]",1.0,1.0,1.0,1.0
353,5009195,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,1,1,1,0,Accountants,2.0,"[5009195, 5009196, 5009198, 5009201, 5009202, 5009203, 5009204, 5009205, 5009206, 5009207, 5009208, 5009209, 5009210]",1.0,1.0,1.0,1.0
368,5009213,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-12333,-860,1,1,1,0,Accountants,2.0,"[5009213, 5009215, 5009216, 5009217]",0.0,1.0,1.0,1.0
374,5009220,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,1,1,0,0,Managers,2.0,"[5009220, 5009222, 5009223, 5009224, 5009225, 5009226, 5009227, 5009232, 5009233, 5009234, 5009236]",0.0,0.0,0.0,0.0
388,5009238,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,-10611,-982,1,0,1,0,Drivers,2.0,"[5009238, 5009239, 5009240, 5009241]",0.0,0.0,1.0,0.0
393,5009242,F,N,N,0,74250.0,Working,Higher education,Separated,Municipal apartment,-19082,-5243,1,0,1,0,Core staff,1.0,"[5009242, 5009243, 5009244]",0.0,0.0,0.0,0.0
396,5009246,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14201,-2139,1,0,1,0,Null,2.0,"[5009246, 5009247, 5009248]",0.0,0.0,1.0,0.0
399,5009249,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,1,1,0,0,Drivers,3.0,"[5009249, 5009250, 5009251, 5009252, 5009253]",0.0,0.0,0.0,0.0
405,5009255,F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15970,-8987,1,0,0,0,Cleaning staff,1.0,"[5009255, 5009257, 5009258]",0.0,1.0,1.0,0.0
408,5009260,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,-14562,-1287,1,0,1,0,Core staff,2.0,"[5009260, 5009261, 5009262, 5009263]",1.0,1.0,1.0,1.0
413,5009264,F,N,N,0,40500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21091,365243,1,0,0,0,Null,1.0,[5009264],1.0,1.0,1.0,1.0
414,5009265,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,-10266,-1652,1,1,1,0,Managers,2.0,"[5009265, 5009266, 5009267, 5009268, 5009269]",0.0,0.0,0.0,0.0
419,5009270,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14781,-2443,1,0,1,0,Laborers,2.0,"[5009270, 5009271, 5009272, 5009274, 5009275, 5009276, 5009277]",0.0,0.0,0.0,0.0
426,5009278,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,1,0,1,0,Cleaning staff,2.0,"[5009278, 5009279, 5009280, 5009281, 5009284, 5009285, 5009286, 5009287, 5009289, 5009290, 5009291, 5009292, 5009293, 5009294]",0.0,1.0,1.0,0.0
440,5009295,F,N,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21041,365243,1,0,1,0,Null,2.0,"[5009295, 5009296]",0.0,0.0,0.0,0.0
442,5009297,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099,-1866,1,0,1,0,Laborers,1.0,"[5009297, 5009299, 5009300, 5009301]",0.0,1.0,1.0,1.0
447,5009302,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22061,365243,1,0,0,0,Null,1.0,"[5009302, 5009303, 5009304, 5009305]",0.0,0.0,0.0,0.0
451,5009306,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20140,365243,1,0,1,1,Null,2.0,"[5009306, 5009307, 5009308, 5009309, 5009310, 5009311, 5009312, 5009313, 5009314, 5009315, 5009316, 5009317, 5009318, 5009319]",0.0,1.0,1.0,0.0
465,5009325,M,Y,N,0,267750.0,Working,Higher education,Married,House / apartment,-20991,-4727,1,0,1,0,Laborers,2.0,"[5009325, 5009327, 5009328, 5009329, 5009330, 5009331, 5009332, 5009333]",0.0,1.0,1.0,0.0
473,5009335,F,N,N,0,139500.0,Working,Higher education,Separated,House / apartment,-16203,-7100,1,0,0,0,Managers,1.0,"[5009335, 5009336, 5009337]",0.0,0.0,1.0,0.0
477,5009338,M,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18674,-5304,1,1,1,0,Security staff,2.0,"[5009338, 5009339]",1.0,1.0,1.0,1.0
479,5009340,M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,-10750,-2443,1,0,0,0,High skill tech staff,2.0,"[5009340, 5009341, 5009342, 5009343, 5009344, 5009345, 5009346]",0.0,0.0,0.0,0.0
486,5009349,M,N,N,0,180000.0,Commercial associate,Lower secondary,Married,House / apartment,-21155,-130,1,0,1,0,Drivers,2.0,"[5009349, 5009354]",1.0,1.0,1.0,1.0
490,5009355,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19692,-5273,1,1,1,0,Laborers,2.0,"[5009355, 5009358]",0.0,0.0,0.0,0.0
492,5009359,F,Y,N,0,900000.0,Working,Higher education,Single / not married,House / apartment,-19063,-7404,1,0,0,0,Managers,1.0,"[5009359, 5009360]",1.0,1.0,1.0,1.0
494,5009361,M,Y,N,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-14867,-586,1,1,0,0,Drivers,2.0,"[5009361, 5009362, 5009363, 5009364, 5009365, 5009366, 5009367]",1.0,1.0,1.0,1.0
501,5009368,M,Y,N,0,115290.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23187,365243,1,0,1,1,Null,2.0,"[5009368, 5009369, 5009370, 5009371, 5009372, 5009373]",1.0,1.0,1.0,1.0
509,5009378,F,N,N,2,225000.0,Working,Higher education,Married,House / apartment,-11281,-1744,1,1,0,1,Core staff,4.0,[5009378],0.0,0.0,0.0,0.0
512,5009379,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9430,-1195,1,1,0,0,Sales staff,3.0,"[5009379, 5009380, 5009381, 5009382]",1.0,1.0,1.0,0.0
517,5009383,F,N,N,0,450000.0,State servant,Higher education,Married,House / apartment,-14718,-5578,1,0,1,0,Managers,2.0,"[5009383, 5009384, 5009386, 5009387]",0.0,0.0,0.0,0.0
521,5009389,M,N,N,0,279000.0,State servant,Higher education,Single / not married,House / apartment,-11042,-3174,1,0,0,0,Core staff,1.0,"[5009389, 5009391, 5009392, 5009393, 5009394, 5009395]",0.0,1.0,1.0,1.0
529,5009396,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,-12506,-495,1,1,0,0,Accountants,3.0,"[5009396, 5009397, 5009398, 5009399, 5009400, 5009401]",0.0,0.0,0.0,0.0
535,5009402,M,N,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20604,-252,1,1,1,0,Security staff,2.0,"[5009402, 5009403]",0.0,0.0,0.0,0.0
537,5009404,F,N,N,2,67500.0,Commercial associate,Higher education,Married,House / apartment,-10331,-433,1,0,1,0,Core staff,4.0,[5009404],0.0,0.0,0.0,0.0
539,5009405,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,-13923,-2290,1,1,1,0,Drivers,2.0,"[5009405, 5009406, 5009408, 5009410, 5112901]",0.0,0.0,0.0,0.0
544,5009415,F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19304,-464,1,1,1,0,Core staff,1.0,"[5009415, 5009416, 5009417, 5009418, 5009419, 5009420, 5009421]",1.0,1.0,1.0,1.0
553,5009423,F,N,N,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19569,-1013,1,0,0,0,Security staff,2.0,[5009423],0.0,0.0,0.0,0.0
554,5009424,M,N,N,0,108000.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,-8182,-1317,1,1,0,0,Cooking staff,1.0,"[5009424, 5009425]",0.0,1.0,1.0,1.0
556,5009426,M,N,N,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19944,365243,1,0,0,0,Null,2.0,"[5009426, 5009427]",0.0,0.0,0.0,0.0
558,5009428,M,N,N,0,198000.0,Working,Secondary / secondary special,Single / not married,With parents,-8657,-1164,1,1,0,0,Laborers,1.0,"[5009428, 5009429]",0.0,0.0,0.0,0.0
560,5009431,M,Y,N,0,360000.0,State servant,Higher education,Married,Municipal apartment,-14835,-1195,1,1,1,0,Drivers,2.0,[5009431],0.0,0.0,0.0,0.0
562,5009435,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19940,365243,1,0,1,0,Null,2.0,"[5009435, 5090746]",0.0,0.0,0.0,0.0
564,5009436,F,N,N,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23480,365243,1,0,0,0,Null,2.0,"[5009436, 5009437, 5009438, 5009439, 5009440]",1.0,1.0,1.0,0.0
569,5009441,F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-9489,-1682,1,0,1,0,Null,2.0,"[5009441, 5009442, 5009443, 5009444]",0.0,1.0,1.0,0.0
574,5009445,F,Y,N,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-13855,-739,1,1,0,0,Null,2.0,[5009445],0.0,1.0,1.0,1.0
576,5009447,M,Y,N,0,81000.0,Working,Secondary / secondary special,Married,With parents,-14435,-3386,1,1,0,0,Drivers,2.0,"[5009447, 5009448]",0.0,0.0,0.0,0.0
579,5009450,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,-17274,-1348,1,0,1,0,Laborers,2.0,"[5009450, 5009451, 5009452, 5009453, 5009454, 5009455, 5009456, 5009457, 5009458]",0.0,0.0,1.0,0.0
590,5009459,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19702,-9870,1,1,1,0,Null,2.0,"[5009459, 5009460, 5009465, 5009466, 5009468, 5009469, 5009470, 5009471, 5009472]",1.0,1.0,1.0,1.0
600,5009473,F,N,N,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-13241,-4451,1,0,1,0,Null,2.0,"[5009473, 5009481, 5009482, 5009480]",1.0,1.0,1.0,1.0
605,5009484,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,Municipal apartment,-12130,-798,1,0,0,0,Cooking staff,2.0,"[5009484, 5009485]",0.0,0.0,1.0,0.0
608,5009487,F,N,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9736,-2870,1,0,0,0,Null,4.0,"[5009487, 5009488, 5009489]",0.0,0.0,0.0,0.0
611,5009490,M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16196,-6218,1,1,1,0,Laborers,2.0,"[5009490, 5009492]",0.0,0.0,0.0,0.0
614,5009493,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11706,-1164,1,1,0,1,Drivers,2.0,"[5009493, 5009494, 5009495, 5009497, 5009498, 5009499, 5009500, 5009501, 5009502, 5009503]",0.0,1.0,1.0,0.0
625,5009507,F,N,N,0,202500.0,Working,Higher education,Married,House / apartment,-16100,-4939,1,0,1,0,Core staff,2.0,"[5009507, 5009508, 5009509, 5009510]",1.0,1.0,1.0,1.0
630,5009512,F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,-16888,-2687,1,0,0,0,Core staff,2.0,"[5009512, 5009513, 5009515, 5009516, 5009517]",1.0,1.0,1.0,1.0
637,5009518,M,Y,N,2,180000.0,Working,Incomplete higher,Married,House / apartment,-12463,-2170,1,1,0,0,Laborers,4.0,"[5009518, 5009519, 5009521]",1.0,1.0,1.0,0.0
641,5009523,M,Y,N,1,112500.0,Working,Secondary / secondary special,Separated,Co-op apartment,-11998,-1135,1,1,0,0,Laborers,2.0,"[5009523, 5009525, 5009524]",1.0,1.0,1.0,1.0
643,5009526,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,1,0,1,0,Null,2.0,"[5009526, 5009527, 5009529, 5009530, 5009531, 5009533, 5009534, 5009535]",1.0,1.0,1.0,0.0
653,5009536,M,Y,N,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,-15455,-890,1,1,0,0,Laborers,2.0,[5009536],0.0,0.0,0.0,0.0
654,5009537,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15527,-1744,1,1,1,0,Sales staff,2.0,"[5009537, 5009540, 5009541]",1.0,1.0,1.0,1.0
